Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
2025-12-23T08:00:00+01:00;PT15M;Onshore;Wallonia;Elia;26.44;19.9;7.7;34.6;27.3;15.5;47.0;27.9;15.6;45.9;2.4;1.2;31.6;188.2;0.14;''
2025-12-23T07:45:00+01:00;PT15M;Onshore;Wallonia;Elia;24.72;21.0;10.8;33.6;26.8;15.9;46.0;26.5;14.9;43.9;2.4;1.3;32.4;188.2;0.13;''
2025-12-23T07:30:00+01:00;PT15M;Onshore;Wallonia;Elia;21.88;19.6;9.5;32.0;26.1;15.8;44.7;25.2;14.3;41.8;2.4;1.4;33.6;188.2;0.12;''
2025-12-23T07:15:00+01:00;PT15M;Onshore;Wallonia;Elia;23.87;18.2;8.3;30.6;25.5;15.5;43.4;23.7;13.4;39.6;2.4;1.5;35.1;188.2;0.13;''
2025-12-23T07:00:00+01:00;PT15M;Onshore;Wallonia;Elia;21.62;16.9;6.8;29.3;24.7;14.6;41.9;22.5;12.7;37.4;2.5;1.6;36.8;188.2;0.11;''
2025-12-23T06:45:00+01:00;PT15M;Onshore;Wallonia;Elia;21.39;14.7;4.7;26.7;23.4;13.0;39.5;20.5;11.1;34.4;2.5;1.7;38.7;188.2;0.11;''
2025-12-23T06:30:00+01:00;PT15M;Onshore;Wallonia;Elia;17.71;13.0;3.7;25.0;22.2;11.8;37.7;19.0;9.8;32.4;2.6;1.8;39.9;188.2;0.09;''
2025-12-23T06:15:00+01:00;PT15M;Onshore;Wallonia;Elia;13.48;11.7;3.0;23.0;21.1;10.7;36.2;17.6;8.6;30.7;2.6;1.9;40.6;188.2;0.07;''
2025-12-23T06:00:00+01:00;PT15M;Onshore;Wallonia;Elia;13.47;10.3;2.9;20.6;20.0;9.7;34.8;16.2;7.0;29.3;2.6;1.9;40.7;188.2;0.07;''
2025-12-23T05:45:00+01:00;PT15M;Onshore;Wallonia;Elia;11.65;8.7;2.4;18.1;18.3;8.2;32.9;14.4;5.2;27.3;2.7;1.9;40.9;188.2;0.06;''
2025-12-23T05:30:00+01:00;PT15M;Onshore;Wallonia;Elia;9.38;7.7;2.3;16.5;17.0;7.2;31.3;13.2;4.1;26.3;2.7;1.8;41.1;188.2;0.05;''
2025-12-23T05:15:00+01:00;PT15M;Onshore;Wallonia;Elia;6.07;6.8;2.0;15.3;15.9;6.1;30.0;12.2;3.0;25.0;2.7;1.7;41.4;188.2;0.03;''
